time,temperature,relativeHumidity,barometricPressure,ambientLight,soundNoise,eTVOC,eCO2
2019-09-06 09:52:09,27.79,60.99,1012.68,4,43.17,184,1519
2019-09-06 09:53:09,27.88,61.58,1012.683,4,45.22,178,1511
2019-09-06 09:54:09,28.72,58.33,1012.661,4,44.21,168,1494
2019-09-06 09:55:09,28.82,57.78,1012.662,4,42.91,155,1420
2019-09-06 09:56:09,28.81,58.17,1012.632,4,52.27,220,1567
2019-09-06 09:57:09,28.78,58.33,1012.608,4,49.22,1027,2150
2019-09-06 09:58:09,28.86,58.24,1012.616,4,56.11,1466,2351
2019-09-06 09:59:09,28.92,58.24,1012.604,4,45.96,1304,2276
2019-09-06 09:59:10,28.91,58.26,1012.604,4,45.33,1276,2263
2019-09-06 10:04:41,29.14,56.88,1012.649,6,44.64,211,1556
2019-09-06 10:05:41,28.2,60.87,1012.635,4,59.35,197,1537
2019-09-06 10:06:41,27.88,62.97,1012.55,4,42.96,208,1552
2019-09-06 10:07:41,28.35,61.6,1012.57,4,62.13,197,1537
2019-09-06 10:08:41,28.55,61.34,1012.6,4,48.8,212,1557
2019-09-06 10:09:41,28.62,62.22,1012.614,4,40.71,237,1591
2019-09-06 10:10:41,28.81,60.32,1012.591,6,49.22,209,1555
2019-09-06 10:11:41,28.82,61.46,1012.558,6,43.28,225,1573
2019-09-06 10:12:41,28.96,59.98,1012.619,4,44.01,215,1560
2019-09-06 10:13:41,28.92,59.99,1012.686,4,42.51,270,1628
2019-09-06 10:14:41,28.88,60.08,1012.641,6,44.66,1053,2160
2019-09-06 10:15:41,29.05,59.79,1012.643,4,45.99,1361,2300
2019-09-06 10:16:41,29.03,59.71,1012.618,4,43.68,951,2116
2019-09-06 10:16:56,29.08,59.14,1012.593,4,42,810,2035
2019-09-06 10:17:12,29.14,59.02,1012.599,4,62.92,707,1977
2019-09-06 10:17:28,29.17,58.88,1012.617,4,43.42,647,1939
2019-09-06 10:17:44,29.15,58.76,1012.655,4,43.29,612,1918
2019-09-06 10:18:00,29.14,58.74,1012.636,4,45.87,536,1865
2019-09-06 10:18:16,29.14,58.57,1012.578,4,46.63,479,1823
2019-09-06 10:18:31,29.12,58.63,1012.631,4,47.09,431,1783
2019-09-06 10:18:46,29.16,58.54,1012.651,4,43.15,396,1756
2019-09-06 10:19:01,29.16,58.55,1012.661,4,43.9,356,1718
2019-09-06 10:19:16,29.08,58.57,1012.687,4,61.6,324,1686
2019-09-06 10:19:32,29.07,58.62,1012.613,6,45.4,303,1664
2019-09-06 10:19:48,28.99,58.87,1012.612,4,39.74,283,1641
2019-09-06 10:20:05,29.03,58.62,1012.623,4,47.73,265,1623
2019-09-06 10:20:20,28.93,59.07,1012.632,4,44.16,252,1607
2019-09-06 10:20:36,28.89,59.1,1012.615,6,45.82,245,1599
2019-09-06 10:20:52,28.91,59.07,1012.612,6,44.21,233,1586
2019-09-06 10:21:08,28.85,59.08,1012.638,4,49.22,229,1581
2019-09-06 10:21:23,28.83,59.05,1012.64,4,43.2,216,1562
2019-09-06 10:21:38,28.8,59.19,1012.625,4,44.25,212,1557
2019-09-06 10:21:54,28.77,59.43,1012.633,4,60.04,204,1547
2019-09-06 10:22:09,28.79,59.4,1012.658,4,44.72,197,1537
2019-09-06 10:22:25,28.75,59.44,1012.601,4,55.9,204,1546
